driver_id,uplift_pred,uplift_rank
DRV0387,0.06125413474179717,1
DRV0086,0.06099870971514364,2
DRV0315,0.060565419837668374,3
DRV0056,0.060124700702365357,4
DRV0147,0.059955124787249556,5
DRV0175,0.05827434021137962,6
DRV0373,0.05787074213542303,7
DRV0134,0.057322599064205705,8
DRV0074,0.057286904217488034,9
DRV0149,0.05636108855616014,10
DRV0307,0.056090124000494505,11
DRV0005,0.055928816698027926,12
DRV0224,0.05585950332422936,13
DRV0393,0.05560234239706155,14
DRV0285,0.0552880958151384,15
DRV0161,0.05507739636200005,16
DRV0112,0.05498513402883595,17
DRV0395,0.05482655834224034,18
DRV0023,0.054721721948008666,19
DRV0043,0.05425065064366712,20
DRV0235,0.05421946715500657,21
DRV0057,0.0540280308415298,22
DRV0371,0.0538465107065774,23
DRV0076,0.053819302484469485,24
DRV0302,0.053790118543956315,25
DRV0068,0.05374482600314899,26
DRV0268,0.05368176005831621,27
DRV0138,0.05333538196778157,28
DRV0388,0.05304612421183341,29
DRV0383,0.052904401330566356,30
DRV0216,0.0525682976409451,31
DRV0201,0.05250711268393126,32
DRV0311,0.05248664632465157,33
DRV0384,0.05248021623197894,34
DRV0244,0.05244644812405606,35
DRV0194,0.0520201392594034,36
DRV0189,0.051857980398892736,37
DRV0190,0.05126921582759889,38
DRV0021,0.051092436230205075,39
DRV0099,0.05108082451541299,40
DRV0064,0.05058958886915191,41
DRV0296,0.05038909448308118,42
DRV0107,0.05022686560262481,43
DRV0389,0.050145841467673556,44
DRV0320,0.049745656895132245,45
DRV0152,0.04929604660400727,46
DRV0381,0.04907495927441999,47
DRV0026,0.049032230265786965,48
DRV0300,0.0484940482408994,49
DRV0272,0.048334464391132634,50
DRV0128,0.0478889426062638,51
DRV0035,0.04772743878127567,52
DRV0014,0.04771434508819945,53
DRV0010,0.04760447500166739,54
DRV0280,0.04757138412461409,55
DRV0301,0.04747838639700666,56
DRV0200,0.04717274782843489,57
DRV0394,0.04716455415286564,58
DRV0385,0.047138106146980274,59
DRV0153,0.04691335650189481,60
DRV0141,0.04686350216834446,61
DRV0034,0.046763654657154465,62
DRV0332,0.04675410184450624,63
DRV0052,0.04668027017718774,64
DRV0360,0.04661647325503657,65
DRV0282,0.046542694768953737,66
DRV0294,0.04643900170027044,67
DRV0199,0.0462947738635075,68
DRV0124,0.045873463108478764,69
DRV0386,0.04583400369518,70
DRV0002,0.0458161038207291,71
DRV0398,0.04571397028238904,72
DRV0213,0.04561459283283917,73
DRV0062,0.04542028217840504,74
DRV0122,0.04537451047790281,75
DRV0118,0.04516648736030719,76
DRV0362,0.04511180497583482,77
DRV0148,0.04510888319692436,78
DRV0055,0.04470296260706068,79
DRV0353,0.04456852802222583,80
DRV0104,0.044513751087263825,81
DRV0290,0.04445566237420323,82
DRV0046,0.043996044161991266,83
DRV0051,0.043769071060108196,84
DRV0347,0.04374883640422405,85
DRV0342,0.04346342079928077,86
DRV0348,0.043253421828839844,87
DRV0174,0.0432051991856818,88
DRV0372,0.04320325815281898,89
DRV0252,0.042987863367969156,90
DRV0346,0.04289780092486887,91
DRV0281,0.042599205295735416,92
DRV0038,0.04222181408034209,93
DRV0065,0.04216232383760732,94
DRV0330,0.0420926433671021,95
DRV0196,0.04182278061452923,96
DRV0271,0.04171375469955806,97
DRV0255,0.04153054884703378,98
DRV0101,0.04102567964232738,99
DRV0221,0.04091461592847166,100
DRV0178,0.04046676224156132,101
DRV0195,0.04016170868759139,102
DRV0168,0.04007628543255132,103
DRV0119,0.040037554920427404,104
DRV0009,0.04001000402431423,105
DRV0245,0.039778638816875794,106
DRV0015,0.039674315174559494,107
DRV0246,0.039646946838528964,108
DRV0367,0.03892723616828669,109
DRV0218,0.03884681111551935,110
DRV0318,0.03869487805021095,111
DRV0337,0.038610920742618404,112
DRV0374,0.03794723147054909,113
DRV0061,0.037892013194720076,114
DRV0029,0.03772106399673352,115
DRV0211,0.03736127339861404,116
DRV0085,0.0372983577204371,117
DRV0157,0.03729640344079676,118
DRV0192,0.037254717284998067,119
DRV0291,0.03665681915342452,120
DRV0078,0.0365398197925779,121
DRV0144,0.0365099262578988,122
DRV0338,0.03571438569201911,123
DRV0072,0.0355228591856228,124
DRV0004,0.03518900805764311,125
DRV0312,0.03501719729843988,126
DRV0186,0.034979376923749694,127
DRV0020,0.034978417781782505,128
DRV0277,0.03472131293492432,129
DRV0135,0.0345841325123016,130
DRV0359,0.03443749055021119,131
DRV0297,0.034265785166270164,132
DRV0193,0.034082083922265256,133
DRV0396,0.034012963830825145,134
DRV0156,0.03377383890361874,135
DRV0208,0.033730496359191224,136
DRV0264,0.0336047265548761,137
DRV0236,0.033250173270795914,138
DRV0151,0.03315719677927534,139
DRV0206,0.03315597575247608,140
DRV0288,0.03307740910851994,141
DRV0047,0.033047984480456205,142
DRV0183,0.03285415133089266,143
DRV0180,0.0327489548189806,144
DRV0131,0.03253855684148933,145
DRV0019,0.03242910574261456,146
DRV0333,0.03233645607571749,147
DRV0011,0.03233194717984471,148
DRV0143,0.03229077092869675,149
DRV0304,0.03220842309398868,150
DRV0222,0.03218048721294022,151
DRV0115,0.03207275708092389,152
DRV0090,0.03207232162329749,153
DRV0067,0.03203924648058569,154
DRV0089,0.03200793160835566,155
DRV0188,0.032006162052311826,156
DRV0164,0.032003752692093136,157
DRV0031,0.03200128969832416,158
DRV0100,0.03186250355327182,159
DRV0309,0.03185744430462865,160
DRV0197,0.03172913049090447,161
DRV0250,0.031720916723947785,162
DRV0191,0.03169389613388451,163
DRV0030,0.03165228179082966,164
DRV0054,0.03165047863793256,165
DRV0001,0.03163004943813402,166
DRV0025,0.03158093774963548,167
DRV0241,0.03153405782021586,168
DRV0310,0.03140473414837555,169
DRV0219,0.0313532043928465,170
DRV0299,0.031319126704354654,171
DRV0163,0.03128507546308781,172
DRV0109,0.031238889593171226,173
DRV0063,0.031188806030337392,174
DRV0263,0.031165695781621403,175
DRV0210,0.031142913660835454,176
DRV0169,0.030961031638972094,177
DRV0108,0.03088142886890598,178
DRV0233,0.030781848533991085,179
DRV0392,0.030714439350451525,180
DRV0399,0.030692941691210375,181
DRV0293,0.030692177305811256,182
DRV0177,0.030557748561851193,183
DRV0230,0.03044292944768721,184
DRV0094,0.030361924009332544,185
DRV0240,0.030236308729180327,186
DRV0182,0.03023317031222945,187
DRV0116,0.030220234864313068,188
DRV0209,0.030217863560119157,189
DRV0336,0.030149544058514277,190
DRV0173,0.030148462717287806,191
DRV0243,0.030137246294164952,192
DRV0113,0.030081361910935144,193
DRV0003,0.03007259960903302,194
DRV0105,0.030021046463813695,195
DRV0205,0.030005744691447664,196
DRV0366,0.029993426001352942,197
DRV0260,0.02998322895964565,198
DRV0084,0.02996218306382315,199
DRV0017,0.029945957580977685,200
DRV0036,0.02987342787440622,201
DRV0295,0.02981815551941191,202
DRV0114,0.029606101915386773,203
DRV0040,0.02952003705186438,204
DRV0363,0.02942497531425587,205
DRV0391,0.029363392633370036,206
DRV0227,0.029357074544398738,207
DRV0242,0.02935161932501515,208
DRV0217,0.029347661844902638,209
DRV0044,0.029239391189024765,210
DRV0140,0.02921154051237838,211
DRV0265,0.029112496737429164,212
DRV0179,0.02898777527636,213
DRV0069,0.028980219403248148,214
DRV0096,0.028963678384578615,215
DRV0303,0.028794635514805735,216
DRV0083,0.028646140071169755,217
DRV0126,0.02856910478210605,218
DRV0368,0.02854815230173284,219
DRV0150,0.02840775960741832,220
DRV0092,0.028399693970819234,221
DRV0162,0.02839069637521497,222
DRV0314,0.028386521394278077,223
DRV0351,0.02832768066836051,224
DRV0239,0.028280596902720993,225
DRV0325,0.028211817578775004,226
DRV0267,0.02820361945912448,227
DRV0077,0.02817853076202728,228
DRV0289,0.02810648602681569,229
DRV0258,0.02810444624887115,230
DRV0071,0.028085032129010607,231
